O alarme foi Desligado(a). [date: 2022-12-16, time: 14:59:38.412084]
usuário pediu para acionar/desligar 'luz 1'. [date: 2022-12-16, time: 15:09:34.156532]
A lampada foi 'Ligado(a)'. [date: 2022-12-16, time: 15:09:34.158280]
usuário pediu para acionar/desligar 'luz 2'. [date: 2022-12-16, time: 15:09:38.162524]
A lampada foi 'Ligado(a)'. [date: 2022-12-16, time: 15:09:38.164687]
usuário pediu para acionar/desligar 'air-condicionado'. [date: 2022-12-16, time: 15:09:40.167595]
O ar-condicionado foi 'Ligado(a)'. [date: 2022-12-16, time: 15:09:40.169441]
usuário pediu para acionar/desligar 'projetor'. [date: 2022-12-16, time: 15:09:41.169931]
O projetor foi 'Ligado(a)'. [date: 2022-12-16, time: 15:09:41.171095]
usuário pediu para acionar/desligar 'luz 1'. [date: 2022-12-16, time: 15:09:45.175794]
A lampada foi 'Desligado(a)'. [date: 2022-12-16, time: 15:09:45.177050]
usuário pediu para acionar/desligar 'luz 2'. [date: 2022-12-16, time: 15:09:46.177974]
A lampada foi 'Desligado(a)'. [date: 2022-12-16, time: 15:09:46.180546]
usuário pediu para acionar/desligar 'air-condicionado'. [date: 2022-12-16, time: 15:09:46.380363]
O ar-condicionado foi 'Desligado(a)'. [date: 2022-12-16, time: 15:09:46.381686]
usuário pediu para acionar/desligar 'projetor'. [date: 2022-12-16, time: 15:09:47.181320]
O projetor foi 'Desligado(a)'. [date: 2022-12-16, time: 15:09:47.182941]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:10:02.198934]
A janela foi 'Aberto(a)'. [date: 2022-12-16, time: 15:10:13.232979]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:10:13.234526]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:10:13.234366]
A janela foi 'Fechado(a)'. [date: 2022-12-16, time: 15:10:17.045811]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:10:25.223523]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:10:25.224760]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:10:35.235383]
A fumaça foi 'Detectada'. [date: 2022-12-16, time: 15:10:38.019057]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:10:38.021334]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:10:38.021610]
O alarme foi Ligado(a). [date: 2022-12-16, time: 15:10:38.024253]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:10:38.024010]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:10:42.243814]
O alarme foi Desligado(a). [date: 2022-12-16, time: 15:10:42.245060]
A janela foi 'Aberto(a)'. [date: 2022-12-16, time: 15:10:54.208838]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:10:57.261070]
A janela foi 'Fechado(a)'. [date: 2022-12-16, time: 15:11:01.841490]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:03.267872]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:05.270354]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:11.277245]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:12.278709]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:13.280147]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:13.473907]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:14.281677]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:14.475408]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:15.283373]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:17.285889]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:17.479066]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:18.287329]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:18.480633]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:19.288782]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:19.482065]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:20.290306]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:20.483496]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:21.291918]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:21.484923]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:22.293343]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:22.485995]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:23.294769]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:23.487455]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:24.296182]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:36.308954]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:36.501816]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:37.310406]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:37.503255]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:38.311930]
usuário pediu para acionar/desligar 'alarme'. [date: 2022-12-16, time: 15:11:41.315750]
